probe,arch,layer,domain,aggregation,n,auroc,tpr@1%fpr,tpr@5%fpr,threshold,TP,TN,FP,FN
svm_rbf/L70,svm_rbf,70,social,mean,147,0.8532,0.1972,0.4225,0.3736,59,58,18,12
logreg/L35,logreg,35,healthcare,top5_mean,157,0.853,0.2075,0.3396,0.7952,40,87,17,13
mlp/L35,mlp,35,economy,mean,132,0.8529,0.1579,0.3333,0.1896,45,63,12,12
mlp/L22,mlp,22,healthcare,threshold_05,157,0.8521,0.6226,0.6604,0.3005,35,100,4,18
mlp/L30,mlp,30,healthcare,threshold_05,157,0.8521,0.2264,0.4717,0.0124,42,83,21,11
logreg/L28,logreg,28,healthcare,top5_mean,157,0.8512,0.1509,0.3774,0.992,41,84,20,12
mlp/L26,mlp,26,healthcare,top10_mean,157,0.8511,0.1887,0.5094,0.9998,40,87,17,13
mlp/L35,mlp,35,social,top10_mean,147,0.8508,0.1408,0.3239,0.9595,61,55,21,10
logreg/L37,logreg,37,social,threshold_05,147,0.8507,0.3803,0.4789,0.0673,61,54,22,10
logreg/L30,logreg,30,healthcare,mean,157,0.8501,0.1321,0.283,0.0518,37,91,13,16
svm_rbf/L45,svm_rbf,45,economy,mean_pooled,746,0.8488,0.1273,0.4061,0.3361,261,322,94,69
svm_rbf/L45,svm_rbf,45,education,mean_pooled,746,0.8488,0.1273,0.4061,0.3361,261,322,94,69
svm_rbf/L45,svm_rbf,45,entertainment,mean_pooled,746,0.8488,0.1273,0.4061,0.3361,261,322,94,69
svm_rbf/L45,svm_rbf,45,healthcare,mean_pooled,746,0.8488,0.1273,0.4061,0.3361,261,322,94,69
svm_rbf/L45,svm_rbf,45,social,mean_pooled,746,0.8488,0.1273,0.4061,0.3361,261,322,94,69
logreg/L29,logreg,29,healthcare,max,157,0.8484,0.2075,0.3774,0.9498,48,69,35,5
logreg/L36,logreg,36,healthcare,top10_mean,157,0.8483,0.1509,0.3774,0.5299,41,83,21,12
svm_rbf/L70,svm_rbf,70,healthcare,mean,157,0.8478,0.3774,0.4528,0.3774,40,89,15,13
logreg/L36,logreg,36,social,top5_mean,147,0.8475,0.0845,0.4507,0.8509,51,63,13,20
logreg/L30,logreg,30,healthcare,top5_mean,157,0.8474,0.1321,0.3585,0.8151,39,84,20,14
logreg/L30,logreg,30,healthcare,top10_mean,157,0.8474,0.1321,0.3019,0.769,35,92,12,18
mlp/L22,mlp,22,healthcare,top10_mean,157,0.8474,0.3774,0.5472,0.9998,38,89,15,15
svm_rbf/L55,svm_rbf,55,healthcare,top5_mean,157,0.8474,0.1887,0.3208,0.4443,43,80,24,10
logreg/L36,logreg,36,healthcare,mean,157,0.8469,0.1321,0.3208,0.0268,49,70,34,4
logreg/L35,logreg,35,social,top5_mean,147,0.8466,0.0845,0.3662,0.8538,61,54,22,10
svm_rbf/L45,svm_rbf,45,social,mean,147,0.8466,0.169,0.2817,0.3346,59,63,13,12
svm_rbf/L60,svm_rbf,60,healthcare,top5_mean,157,0.8462,0.2453,0.4528,0.4305,49,64,40,4
logreg/L30,logreg,30,social,top10_mean,147,0.846,0.507,0.5211,0.4935,60,54,22,11
svm_rbf/L45,svm_rbf,45,healthcare,max,157,0.8451,0.1132,0.3962,0.4448,47,72,32,6
logreg/L30,logreg,30,healthcare,max,157,0.8448,0.2642,0.3585,0.9714,42,79,25,11
logreg/L37,logreg,37,healthcare,mean,157,0.8445,0.1509,0.3396,0.0736,40,84,20,13
logreg/L21,logreg,21,healthcare,mean,157,0.844,0.4906,0.6604,0.2752,36,98,6,17
logreg/L31,logreg,31,healthcare,threshold_05,157,0.8438,0.3585,0.434,0.0148,39,84,20,14
logreg/L21,logreg,21,healthcare,threshold_05,157,0.8436,0.4906,0.6415,0.3198,34,100,4,19
logreg/L27,logreg,27,healthcare,mean,157,0.8434,0.3774,0.4906,0.1181,39,89,15,14
mlp/L35,mlp,35,entertainment,threshold_05,160,0.8428,0.2018,0.2844,0.201,85,43,8,24
mlp/L26,mlp,26,healthcare,top5_mean,157,0.8423,0.0,0.3962,0.9996,46,72,32,7
logreg/L24,logreg,24,healthcare,top5_mean,157,0.8409,0.0,0.5094,0.9878,46,69,35,7
logreg/L26,logreg,26,healthcare,top5_mean,157,0.8409,0.0,0.0,0.9997,45,71,33,8
logreg/L35,logreg,35,healthcare,threshold_05,157,0.84,0.1887,0.3774,0.0282,41,80,24,12
logreg/L37,logreg,37,social,top10_mean,147,0.8397,0.2394,0.4366,0.8512,57,57,19,14
logreg/L35,logreg,35,economy,mean_pooled,746,0.8391,0.1485,0.4758,0.0665,245,334,82,85
logreg/L35,logreg,35,education,mean_pooled,746,0.8391,0.1485,0.4758,0.0665,245,334,82,85
logreg/L35,logreg,35,entertainment,mean_pooled,746,0.8391,0.1485,0.4758,0.0665,245,334,82,85
logreg/L35,logreg,35,healthcare,mean_pooled,746,0.8391,0.1485,0.4758,0.0665,245,334,82,85
logreg/L35,logreg,35,social,mean_pooled,746,0.8391,0.1485,0.4758,0.0665,245,334,82,85
logreg/L34,logreg,34,healthcare,top10_mean,157,0.8389,0.2642,0.3396,0.3053,40,80,24,13
svm_rbf/L60,svm_rbf,60,social,top10_mean,147,0.8388,0.0423,0.3803,0.4157,54,64,12,17
svm_rbf/L22,svm_rbf,22,healthcare,top10_mean,157,0.8384,0.1509,0.3396,0.5847,45,79,25,8
logreg/L21,logreg,21,social,max,147,0.8381,0.0,0.0,1.0,64,54,22,7
mlp/L22,mlp,22,healthcare,top5_mean,157,0.8381,0.0,0.5094,0.9999,40,87,17,13
logreg/L34,logreg,34,healthcare,mean,157,0.8378,0.2453,0.3774,0.0251,36,89,15,17
svm_rbf/L40,svm_rbf,40,healthcare,max,157,0.8374,0.0943,0.3208,0.4458,45,71,33,8
logreg/L30,logreg,30,social,top5_mean,147,0.8373,0.3803,0.507,0.7157,59,53,23,12
logreg/L23,logreg,23,healthcare,mean,157,0.8364,0.3962,0.6226,0.2962,35,98,6,18
mlp/L35,mlp,35,economy,threshold_05,132,0.8359,0.2105,0.3333,0.1477,46,58,17,11
logreg/L27,logreg,27,healthcare,top10_mean,157,0.8358,0.2075,0.4528,0.9454,42,80,24,11
