probe,arch,layer,domain,aggregation,n,auroc,tpr@1%fpr,tpr@5%fpr,threshold,TP,TN,FP,FN
logreg/L65,logreg,65,economy,max_pooled,746,0.5701,0.0,0.0636,0.9975,200,217,199,130
logreg/L65,logreg,65,education,max_pooled,746,0.5701,0.0,0.0636,0.9975,200,217,199,130
logreg/L65,logreg,65,entertainment,max_pooled,746,0.5701,0.0,0.0636,0.9975,200,217,199,130
logreg/L65,logreg,65,healthcare,max_pooled,746,0.5701,0.0,0.0636,0.9975,200,217,199,130
logreg/L65,logreg,65,social,max_pooled,746,0.5701,0.0,0.0636,0.9975,200,217,199,130
mlp/L55,mlp,55,economy,max,132,0.5701,0.0,0.1053,0.9425,55,18,57,2
logreg/L28,logreg,28,education,threshold_05,150,0.5699,0.15,0.325,0.1618,13,107,3,27
logreg/L11,logreg,11,economy,max,132,0.5698,0.0,0.0,1.0,39,33,42,18
logreg/L64,logreg,64,economy,top5_mean_pooled,746,0.5698,0.0212,0.0788,0.9821,181,237,179,149
logreg/L64,logreg,64,education,top5_mean_pooled,746,0.5698,0.0212,0.0788,0.9821,181,237,179,149
logreg/L64,logreg,64,entertainment,top5_mean_pooled,746,0.5698,0.0212,0.0788,0.9821,181,237,179,149
logreg/L64,logreg,64,healthcare,top5_mean_pooled,746,0.5698,0.0212,0.0788,0.9821,181,237,179,149
logreg/L64,logreg,64,social,top5_mean_pooled,746,0.5698,0.0212,0.0788,0.9821,181,237,179,149
logreg/L52,logreg,52,economy,max_pooled,746,0.5697,0.0,0.0,0.9943,252,150,266,78
logreg/L52,logreg,52,education,max_pooled,746,0.5697,0.0,0.0,0.9943,252,150,266,78
logreg/L52,logreg,52,entertainment,max_pooled,746,0.5697,0.0,0.0,0.9943,252,150,266,78
logreg/L52,logreg,52,healthcare,max_pooled,746,0.5697,0.0,0.0,0.9943,252,150,266,78
logreg/L52,logreg,52,social,max_pooled,746,0.5697,0.0,0.0,0.9943,252,150,266,78
mlp/L22,mlp,22,entertainment,top5_mean,160,0.5695,0.0,0.2477,1.0,41,46,5,68
logreg/L42,logreg,42,economy,threshold_05,132,0.5694,0.0877,0.1404,0.2255,11,70,5,46
logreg/L9,logreg,9,social,top10_mean,147,0.5688,0.0,0.0141,0.9968,55,33,43,16
logreg/L52,logreg,52,economy,max,132,0.5685,0.0,0.0,0.9993,36,42,33,21
logreg/L77,logreg,77,economy,top5_mean,132,0.5684,0.0,0.1404,0.9992,21,62,13,36
logreg/L65,logreg,65,economy,threshold_05_pooled,746,0.5682,0.0091,0.0727,0.0845,178,242,174,152
logreg/L65,logreg,65,education,threshold_05_pooled,746,0.5682,0.0091,0.0727,0.0845,178,242,174,152
logreg/L65,logreg,65,entertainment,threshold_05_pooled,746,0.5682,0.0091,0.0727,0.0845,178,242,174,152
logreg/L65,logreg,65,healthcare,threshold_05_pooled,746,0.5682,0.0091,0.0727,0.0845,178,242,174,152
logreg/L65,logreg,65,social,threshold_05_pooled,746,0.5682,0.0091,0.0727,0.0845,178,242,174,152
logreg/L27,logreg,27,education,max,150,0.5681,0.0,0.0,1.0,11,96,14,29
logreg/L18,logreg,18,healthcare,last,157,0.5679,0.0377,0.1698,0.9971,15,89,15,38
logreg/L2,logreg,2,entertainment,threshold_05,160,0.5677,0.0,0.1376,0.7976,87,18,33,22
logreg/L72,logreg,72,economy,mean,132,0.5675,0.0175,0.0351,0.2855,20,66,9,37
logreg/L61,logreg,61,economy,max_pooled,746,0.5673,0.0,0.0636,0.9991,149,283,133,181
logreg/L61,logreg,61,education,max_pooled,746,0.5673,0.0,0.0636,0.9991,149,283,133,181
logreg/L61,logreg,61,entertainment,max_pooled,746,0.5673,0.0,0.0636,0.9991,149,283,133,181
logreg/L61,logreg,61,healthcare,max_pooled,746,0.5673,0.0,0.0636,0.9991,149,283,133,181
logreg/L61,logreg,61,social,max_pooled,746,0.5673,0.0,0.0636,0.9991,149,283,133,181
logreg/L23,logreg,23,entertainment,max,160,0.5671,0.0,0.0,1.0,51,38,13,58
logreg/L49,logreg,49,education,top10_mean,150,0.5668,0.025,0.1,0.4152,36,33,77,4
logreg/L6,logreg,6,economy,top10_mean,132,0.5668,0.0526,0.0877,0.9988,35,43,32,22
mlp/L70,mlp,70,healthcare,last,157,0.5668,0.0377,0.0943,0.0,49,30,74,4
logreg/L18,logreg,18,healthcare,max,157,0.5667,0.0,0.0,1.0,45,28,76,8
logreg/L51,logreg,51,economy,max,132,0.5667,0.0,0.0,0.9991,32,43,32,25
logreg/L62,logreg,62,social,max,147,0.5667,0.0,0.0,0.9738,60,28,48,11
svm_rbf/L22,svm_rbf,22,healthcare,last,157,0.5667,0.0189,0.1509,0.5153,19,90,14,34
logreg/L22,logreg,22,entertainment,top10_mean,160,0.5666,0.0,0.2661,0.9999,50,43,8,59
logreg/L23,logreg,23,education,mean,150,0.5666,0.1,0.2,0.2957,12,97,13,28
svm_rbf/L35,svm_rbf,35,economy,last_pooled,746,0.5666,0.0152,0.0636,0.3815,170,271,145,160
svm_rbf/L35,svm_rbf,35,education,last_pooled,746,0.5666,0.0152,0.0636,0.3815,170,271,145,160
svm_rbf/L35,svm_rbf,35,entertainment,last_pooled,746,0.5666,0.0152,0.0636,0.3815,170,271,145,160
svm_rbf/L35,svm_rbf,35,healthcare,last_pooled,746,0.5666,0.0152,0.0636,0.3815,170,271,145,160
svm_rbf/L35,svm_rbf,35,social,last_pooled,746,0.5666,0.0152,0.0636,0.3815,170,271,145,160
logreg/L18,logreg,18,economy,mean_pooled,746,0.5661,0.0576,0.1212,0.5846,121,324,92,209
logreg/L18,logreg,18,education,mean_pooled,746,0.5661,0.0576,0.1212,0.5846,121,324,92,209
logreg/L18,logreg,18,entertainment,mean_pooled,746,0.5661,0.0576,0.1212,0.5846,121,324,92,209
logreg/L18,logreg,18,healthcare,mean_pooled,746,0.5661,0.0576,0.1212,0.5846,121,324,92,209
logreg/L18,logreg,18,social,mean_pooled,746,0.5661,0.0576,0.1212,0.5846,121,324,92,209
logreg/L53,logreg,53,economy,mean,132,0.5656,0.0351,0.0877,0.1167,37,37,38,20
logreg/L24,logreg,24,education,mean,150,0.5655,0.15,0.225,0.2834,9,106,4,31
logreg/L62,logreg,62,economy,last,132,0.5655,0.0,0.1404,0.0036,20,63,12,37
logreg/L3,logreg,3,education,last,150,0.5653,0.0,0.05,0.9927,18,85,25,22
mlp/L60,mlp,60,economy,max_pooled,746,0.5653,0.0,0.0,0.9989,203,213,203,127
mlp/L60,mlp,60,education,max_pooled,746,0.5653,0.0,0.0,0.9989,203,213,203,127
mlp/L60,mlp,60,entertainment,max_pooled,746,0.5653,0.0,0.0,0.9989,203,213,203,127
mlp/L60,mlp,60,healthcare,max_pooled,746,0.5653,0.0,0.0,0.9989,203,213,203,127
mlp/L60,mlp,60,social,max_pooled,746,0.5653,0.0,0.0,0.9989,203,213,203,127
logreg/L45,logreg,45,economy,max,132,0.5651,0.0,0.1053,0.8351,52,17,58,5
svm_rbf/L30,svm_rbf,30,economy,last,132,0.5651,0.0175,0.1053,0.3902,53,17,58,4
logreg/L25,logreg,25,education,top5_mean,150,0.565,0.1,0.125,0.9999,10,96,14,30
logreg/L64,logreg,64,economy,mean_pooled,746,0.5648,0.0152,0.0606,0.1031,196,215,201,134
logreg/L64,logreg,64,education,mean_pooled,746,0.5648,0.0152,0.0606,0.1031,196,215,201,134
logreg/L64,logreg,64,entertainment,mean_pooled,746,0.5648,0.0152,0.0606,0.1031,196,215,201,134
logreg/L64,logreg,64,healthcare,mean_pooled,746,0.5648,0.0152,0.0606,0.1031,196,215,201,134
logreg/L64,logreg,64,social,mean_pooled,746,0.5648,0.0152,0.0606,0.1031,196,215,201,134
logreg/L73,logreg,73,economy,max,132,0.5648,0.0,0.1404,1.0,17,64,11,40
logreg/L55,logreg,55,economy,top10_mean,132,0.5647,0.0526,0.1404,0.8027,50,21,54,7
logreg/L9,logreg,9,entertainment,last,160,0.5647,0.0275,0.1284,0.4529,56,33,18,53
logreg/L31,logreg,31,entertainment,threshold_05,160,0.5646,0.0,0.2477,0.0388,59,35,16,50
svm_rbf/L35,svm_rbf,35,education,last,150,0.5644,0.025,0.075,0.3828,24,64,46,16
svm_rbf/L55,svm_rbf,55,social,threshold_05,147,0.5644,0.0282,0.169,0.0025,12,74,2,59
logreg/L3,logreg,3,entertainment,max,160,0.5643,0.0092,0.1468,0.9999,51,37,14,58
logreg/L4,logreg,4,economy,max,132,0.5643,0.0,0.0175,0.9995,41,37,38,16
logreg/L44,logreg,44,education,top5_mean,150,0.5643,0.025,0.025,0.7916,25,58,52,15
mlp/L30,mlp,30,education,threshold_05,150,0.5643,0.175,0.175,0.0711,7,110,0,33
svm_rbf/L35,svm_rbf,35,entertainment,top5_mean,160,0.5643,0.0275,0.211,0.5111,38,43,8,71
logreg/L41,logreg,41,entertainment,top10_mean,160,0.5641,0.0,0.1376,0.9807,46,37,14,63
logreg/L53,logreg,53,economy,max_pooled,746,0.5641,0.0,0.0,0.9993,162,265,151,168
logreg/L53,logreg,53,education,max_pooled,746,0.5641,0.0,0.0,0.9993,162,265,151,168
logreg/L53,logreg,53,entertainment,max_pooled,746,0.5641,0.0,0.0,0.9993,162,265,151,168
logreg/L53,logreg,53,healthcare,max_pooled,746,0.5641,0.0,0.0,0.9993,162,265,151,168
logreg/L53,logreg,53,social,max_pooled,746,0.5641,0.0,0.0,0.9993,162,265,151,168
logreg/L51,logreg,51,economy,top10_mean,132,0.564,0.0702,0.1228,0.7815,47,28,47,10
logreg/L15,logreg,15,healthcare,threshold_05,157,0.5639,0.0377,0.0943,0.375,33,54,50,20
logreg/L67,logreg,67,economy,max,132,0.5639,0.0,0.0877,0.9709,50,19,56,7
logreg/L32,logreg,32,social,last,147,0.5638,0.0141,0.0141,0.0533,29,57,19,42
logreg/L34,logreg,34,entertainment,max,160,0.5638,0.0734,0.1651,0.9919,58,33,18,51
logreg/L76,logreg,76,social,mean,147,0.5638,0.0,0.0423,0.2068,54,34,42,17
logreg/L50,logreg,50,economy,mean,132,0.5637,0.0702,0.0877,0.0492,44,27,48,13
logreg/L18,logreg,18,economy,threshold_05_pooled,746,0.5636,0.0576,0.1242,0.5819,130,311,105,200
logreg/L18,logreg,18,education,threshold_05_pooled,746,0.5636,0.0576,0.1242,0.5819,130,311,105,200
logreg/L18,logreg,18,entertainment,threshold_05_pooled,746,0.5636,0.0576,0.1242,0.5819,130,311,105,200
logreg/L18,logreg,18,healthcare,threshold_05_pooled,746,0.5636,0.0576,0.1242,0.5819,130,311,105,200
logreg/L18,logreg,18,social,threshold_05_pooled,746,0.5636,0.0576,0.1242,0.5819,130,311,105,200
logreg/L23,logreg,23,education,top10_mean,150,0.5636,0.05,0.125,0.9997,15,91,19,25
logreg/L43,logreg,43,education,top5_mean,150,0.5636,0.05,0.05,0.5287,34,33,77,6
svm_rbf/L5,svm_rbf,5,economy,max,132,0.5635,0.0351,0.1053,0.6193,48,23,52,9
mlp/L15,mlp,15,healthcare,top10_mean,157,0.5631,0.0,0.0,1.0,45,32,72,8
logreg/L32,logreg,32,economy,max,132,0.5629,0.0877,0.1404,0.8494,46,27,48,11
logreg/L56,logreg,56,economy,top5_mean,132,0.5628,0.0175,0.1053,0.8707,53,18,57,4
logreg/L56,logreg,56,economy,last_pooled,746,0.5628,0.0152,0.0818,0.0003,193,226,190,137
logreg/L56,logreg,56,education,last_pooled,746,0.5628,0.0152,0.0818,0.0003,193,226,190,137
logreg/L56,logreg,56,entertainment,last_pooled,746,0.5628,0.0152,0.0818,0.0003,193,226,190,137
logreg/L56,logreg,56,healthcare,last_pooled,746,0.5628,0.0152,0.0818,0.0003,193,226,190,137
logreg/L56,logreg,56,social,last_pooled,746,0.5628,0.0152,0.0818,0.0003,193,226,190,137
logreg/L42,logreg,42,education,top5_mean,150,0.5625,0.025,0.05,0.6174,35,31,79,5
mlp/L22,mlp,22,entertainment,max,160,0.5622,0.0,0.0,1.0,48,39,12,61
logreg/L60,logreg,60,economy,top5_mean_pooled,746,0.5621,0.0212,0.0515,0.8996,285,104,312,45
logreg/L60,logreg,60,education,top5_mean_pooled,746,0.5621,0.0212,0.0515,0.8996,285,104,312,45
logreg/L60,logreg,60,entertainment,top5_mean_pooled,746,0.5621,0.0212,0.0515,0.8996,285,104,312,45
logreg/L60,logreg,60,healthcare,top5_mean_pooled,746,0.5621,0.0212,0.0515,0.8996,285,104,312,45
logreg/L60,logreg,60,social,top5_mean_pooled,746,0.5621,0.0212,0.0515,0.8996,285,104,312,45
logreg/L70,logreg,70,economy,last,132,0.5621,0.0,0.0877,0.0078,21,60,15,36
logreg/L21,logreg,21,entertainment,top10_mean,160,0.562,0.0,0.2202,1.0,34,48,3,75
logreg/L46,logreg,46,education,top5_mean,150,0.562,0.025,0.025,0.6212,34,39,71,6
logreg/L54,logreg,54,economy,last,132,0.562,0.0,0.1404,0.0005,27,54,21,30
logreg/L63,logreg,63,economy,top5_mean_pooled,746,0.562,0.0182,0.0576,0.9552,215,191,225,115
logreg/L63,logreg,63,education,top5_mean_pooled,746,0.562,0.0182,0.0576,0.9552,215,191,225,115
logreg/L63,logreg,63,entertainment,top5_mean_pooled,746,0.562,0.0182,0.0576,0.9552,215,191,225,115
logreg/L63,logreg,63,healthcare,top5_mean_pooled,746,0.562,0.0182,0.0576,0.9552,215,191,225,115
logreg/L63,logreg,63,social,top5_mean_pooled,746,0.562,0.0182,0.0576,0.9552,215,191,225,115
logreg/L54,logreg,54,economy,last_pooled,746,0.5619,0.0515,0.1121,0.0019,155,270,146,175
logreg/L54,logreg,54,education,last_pooled,746,0.5619,0.0515,0.1121,0.0019,155,270,146,175
logreg/L54,logreg,54,entertainment,last_pooled,746,0.5619,0.0515,0.1121,0.0019,155,270,146,175
logreg/L54,logreg,54,healthcare,last_pooled,746,0.5619,0.0515,0.1121,0.0019,155,270,146,175
logreg/L54,logreg,54,social,last_pooled,746,0.5619,0.0515,0.1121,0.0019,155,270,146,175
logreg/L34,logreg,34,economy,last,132,0.5618,0.0175,0.0175,0.0006,26,58,17,31
logreg/L58,logreg,58,economy,top5_mean,132,0.5618,0.0,0.1579,0.8117,53,17,58,4
logreg/L2,logreg,2,entertainment,mean,160,0.5616,0.0642,0.1376,0.7536,87,18,33,22
svm_rbf/L60,svm_rbf,60,education,top5_mean,150,0.5616,0.075,0.1,0.4171,34,34,76,6
logreg/L11,logreg,11,healthcare,max,157,0.5615,0.0,0.0,1.0,43,33,71,10
logreg/L11,logreg,11,healthcare,top10_mean,157,0.5614,0.0,0.0566,1.0,46,29,75,7
logreg/L52,logreg,52,economy,top5_mean,132,0.5613,0.0,0.1404,0.9461,46,26,49,11
logreg/L77,logreg,77,economy,max,132,0.5613,0.0175,0.1053,1.0,19,67,8,38
logreg/L49,logreg,49,education,threshold_05,150,0.561,0.1,0.125,0.0807,12,91,19,28
logreg/L26,logreg,26,healthcare,last,157,0.5609,0.0,0.0,0.0116,40,44,60,13
logreg/L68,logreg,68,economy,max,132,0.5606,0.0,0.1053,0.9999,23,55,20,34
logreg/L28,logreg,28,education,top5_mean,150,0.5605,0.125,0.15,0.9975,16,91,19,24
logreg/L48,logreg,48,economy,threshold_05,132,0.5605,0.0877,0.1228,0.0133,53,22,53,4
svm_rbf/L70,svm_rbf,70,education,max,150,0.5605,0.075,0.075,0.4592,29,53,57,11
logreg/L38,logreg,38,entertainment,max,160,0.5604,0.0,0.055,0.9995,35,42,9,74
logreg/L74,logreg,74,economy,max,132,0.5604,0.0351,0.0351,0.9993,38,37,38,19
logreg/L64,logreg,64,economy,threshold_05_pooled,746,0.5598,0.0152,0.0576,0.1043,165,250,166,165
logreg/L64,logreg,64,education,threshold_05_pooled,746,0.5598,0.0152,0.0576,0.1043,165,250,166,165
logreg/L64,logreg,64,entertainment,threshold_05_pooled,746,0.5598,0.0152,0.0576,0.1043,165,250,166,165
logreg/L64,logreg,64,healthcare,threshold_05_pooled,746,0.5598,0.0152,0.0576,0.1043,165,250,166,165
logreg/L64,logreg,64,social,threshold_05_pooled,746,0.5598,0.0152,0.0576,0.1043,165,250,166,165
logreg/L24,logreg,24,education,threshold_05,150,0.5597,0.125,0.225,0.2886,9,107,3,31
logreg/L63,logreg,63,social,max,147,0.5597,0.0,0.0704,0.8764,69,19,57,2
logreg/L24,logreg,24,entertainment,mean,160,0.5596,0.1193,0.3303,0.2998,44,48,3,65
logreg/L37,logreg,37,entertainment,max,160,0.5596,0.0275,0.1009,0.9993,36,42,9,73
logreg/L56,logreg,56,economy,max,132,0.5596,0.0,0.0,0.9839,53,20,55,4
mlp/L70,mlp,70,entertainment,last,160,0.5596,0.0275,0.2477,0.0001,36,47,4,73
logreg/L15,logreg,15,healthcare,mean,157,0.5595,0.0377,0.0943,0.4469,19,82,22,34
logreg/L60,logreg,60,economy,mean_pooled,746,0.5594,0.0061,0.0485,0.1115,219,185,231,111
logreg/L60,logreg,60,education,mean_pooled,746,0.5594,0.0061,0.0485,0.1115,219,185,231,111
logreg/L60,logreg,60,entertainment,mean_pooled,746,0.5594,0.0061,0.0485,0.1115,219,185,231,111
logreg/L60,logreg,60,healthcare,mean_pooled,746,0.5594,0.0061,0.0485,0.1115,219,185,231,111
logreg/L60,logreg,60,social,mean_pooled,746,0.5594,0.0061,0.0485,0.1115,219,185,231,111
logreg/L53,logreg,53,economy,top5_mean,132,0.5592,0.0175,0.1228,0.8105,56,11,64,1
logreg/L49,logreg,49,economy,last_pooled,746,0.559,0.0303,0.0818,0.0005,217,193,223,113
logreg/L49,logreg,49,education,last_pooled,746,0.559,0.0303,0.0818,0.0005,217,193,223,113
logreg/L49,logreg,49,entertainment,last_pooled,746,0.559,0.0303,0.0818,0.0005,217,193,223,113
logreg/L49,logreg,49,healthcare,last_pooled,746,0.559,0.0303,0.0818,0.0005,217,193,223,113
logreg/L49,logreg,49,social,last_pooled,746,0.559,0.0303,0.0818,0.0005,217,193,223,113
logreg/L60,logreg,60,economy,threshold_05_pooled,746,0.5589,0.0061,0.0485,0.119,187,226,190,143
logreg/L60,logreg,60,education,threshold_05_pooled,746,0.5589,0.0061,0.0485,0.119,187,226,190,143
logreg/L60,logreg,60,entertainment,threshold_05_pooled,746,0.5589,0.0061,0.0485,0.119,187,226,190,143
logreg/L60,logreg,60,healthcare,threshold_05_pooled,746,0.5589,0.0061,0.0485,0.119,187,226,190,143
logreg/L60,logreg,60,social,threshold_05_pooled,746,0.5589,0.0061,0.0485,0.119,187,226,190,143
mlp/L26,mlp,26,healthcare,last,157,0.5588,0.0,0.0189,0.0053,34,57,47,19
logreg/L31,logreg,31,entertainment,top5_mean,160,0.5587,0.0367,0.0826,0.8422,64,30,21,45
logreg/L40,logreg,40,education,top5_mean,150,0.5584,0.05,0.1,0.9511,18,79,31,22
logreg/L24,logreg,24,entertainment,threshold_05,160,0.5583,0.1193,0.3211,0.2936,43,48,3,66
logreg/L53,logreg,53,economy,last_pooled,746,0.5583,0.0697,0.1364,0.0016,132,294,122,198
logreg/L53,logreg,53,education,last_pooled,746,0.5583,0.0697,0.1364,0.0016,132,294,122,198
logreg/L53,logreg,53,entertainment,last_pooled,746,0.5583,0.0697,0.1364,0.0016,132,294,122,198
logreg/L53,logreg,53,healthcare,last_pooled,746,0.5583,0.0697,0.1364,0.0016,132,294,122,198
logreg/L53,logreg,53,social,last_pooled,746,0.5583,0.0697,0.1364,0.0016,132,294,122,198
logreg/L42,logreg,42,entertainment,mean,160,0.5582,0.055,0.1468,0.1302,40,43,8,69
mlp/L35,mlp,35,economy,last_pooled,746,0.558,0.0303,0.0848,0.0091,216,191,225,114
mlp/L35,mlp,35,education,last_pooled,746,0.558,0.0303,0.0848,0.0091,216,191,225,114
mlp/L35,mlp,35,entertainment,last_pooled,746,0.558,0.0303,0.0848,0.0091,216,191,225,114
mlp/L35,mlp,35,healthcare,last_pooled,746,0.558,0.0303,0.0848,0.0091,216,191,225,114
mlp/L35,mlp,35,social,last_pooled,746,0.558,0.0303,0.0848,0.0091,216,191,225,114
logreg/L51,logreg,51,economy,top5_mean,132,0.5579,0.0,0.1404,0.9037,47,25,50,10
logreg/L53,logreg,53,economy,threshold_05,132,0.5577,0.0351,0.0877,0.1088,35,40,35,22
svm_rbf/L60,svm_rbf,60,social,threshold_05,147,0.5576,0.1268,0.1268,0.0025,9,76,0,62
logreg/L37,logreg,37,education,max,150,0.5573,0.05,0.1,0.9271,35,34,76,5
logreg/L62,logreg,62,economy,top5_mean_pooled,746,0.5573,0.0212,0.0576,0.9733,202,202,214,128
logreg/L62,logreg,62,education,top5_mean_pooled,746,0.5573,0.0212,0.0576,0.9733,202,202,214,128
logreg/L62,logreg,62,entertainment,top5_mean_pooled,746,0.5573,0.0212,0.0576,0.9733,202,202,214,128
logreg/L62,logreg,62,healthcare,top5_mean_pooled,746,0.5573,0.0212,0.0576,0.9733,202,202,214,128
logreg/L62,logreg,62,social,top5_mean_pooled,746,0.5573,0.0212,0.0576,0.9733,202,202,214,128
mlp/L15,mlp,15,social,last,147,0.5572,0.0,0.0423,0.0011,36,49,27,35
mlp/L45,mlp,45,entertainment,threshold_05,160,0.5571,0.1009,0.1284,0.1077,39,44,7,70
logreg/L34,logreg,34,economy,last_pooled,746,0.557,0.0333,0.0788,0.0268,106,326,90,224
logreg/L34,logreg,34,education,last_pooled,746,0.557,0.0333,0.0788,0.0268,106,326,90,224
logreg/L34,logreg,34,entertainment,last_pooled,746,0.557,0.0333,0.0788,0.0268,106,326,90,224
logreg/L34,logreg,34,healthcare,last_pooled,746,0.557,0.0333,0.0788,0.0268,106,326,90,224
logreg/L34,logreg,34,social,last_pooled,746,0.557,0.0333,0.0788,0.0268,106,326,90,224
logreg/L45,logreg,45,education,threshold_05,150,0.557,0.05,0.125,0.0104,33,35,75,7
logreg/L60,logreg,60,economy,max_pooled,746,0.557,0.0,0.0,1.0,112,313,103,218
logreg/L60,logreg,60,education,max_pooled,746,0.557,0.0,0.0,1.0,112,313,103,218
logreg/L60,logreg,60,entertainment,max_pooled,746,0.557,0.0,0.0,1.0,112,313,103,218
logreg/L60,logreg,60,healthcare,max_pooled,746,0.557,0.0,0.0,1.0,112,313,103,218
logreg/L60,logreg,60,social,max_pooled,746,0.557,0.0,0.0,1.0,112,313,103,218
logreg/L69,logreg,69,economy,top5_mean,132,0.557,0.0702,0.1579,0.9909,37,38,37,20
logreg/L40,logreg,40,entertainment,top10_mean,160,0.5569,0.0,0.1193,0.9647,44,39,12,65
logreg/L47,logreg,47,education,top5_mean,150,0.5568,0.025,0.05,0.5014,38,26,84,2
logreg/L25,logreg,25,education,last,150,0.5566,0.05,0.05,0.0061,17,81,29,23
logreg/L63,logreg,63,economy,mean_pooled,746,0.5566,0.0091,0.0636,0.0919,196,212,204,134
logreg/L63,logreg,63,education,mean_pooled,746,0.5566,0.0091,0.0636,0.0919,196,212,204,134
logreg/L63,logreg,63,entertainment,mean_pooled,746,0.5566,0.0091,0.0636,0.0919,196,212,204,134
logreg/L63,logreg,63,healthcare,mean_pooled,746,0.5566,0.0091,0.0636,0.0919,196,212,204,134
logreg/L63,logreg,63,social,mean_pooled,746,0.5566,0.0091,0.0636,0.0919,196,212,204,134
logreg/L75,logreg,75,economy,max,132,0.5566,0.0175,0.0526,0.9999,23,56,19,34
logreg/L51,logreg,51,economy,last_pooled,746,0.5565,0.0273,0.103,0.0004,200,215,201,130
logreg/L51,logreg,51,education,last_pooled,746,0.5565,0.0273,0.103,0.0004,200,215,201,130
logreg/L51,logreg,51,entertainment,last_pooled,746,0.5565,0.0273,0.103,0.0004,200,215,201,130
logreg/L51,logreg,51,healthcare,last_pooled,746,0.5565,0.0273,0.103,0.0004,200,215,201,130
logreg/L51,logreg,51,social,last_pooled,746,0.5565,0.0273,0.103,0.0004,200,215,201,130
logreg/L55,logreg,55,economy,max,132,0.5564,0.0,0.0,0.9919,51,19,56,6
logreg/L62,logreg,62,economy,mean_pooled,746,0.5564,0.0091,0.0636,0.1221,169,245,171,161
logreg/L62,logreg,62,education,mean_pooled,746,0.5564,0.0091,0.0636,0.1221,169,245,171,161
logreg/L62,logreg,62,entertainment,mean_pooled,746,0.5564,0.0091,0.0636,0.1221,169,245,171,161
logreg/L62,logreg,62,healthcare,mean_pooled,746,0.5564,0.0091,0.0636,0.1221,169,245,171,161
logreg/L62,logreg,62,social,mean_pooled,746,0.5564,0.0091,0.0636,0.1221,169,245,171,161
logreg/L64,logreg,64,economy,max_pooled,746,0.5563,0.0,0.0697,0.9723,287,97,319,43
logreg/L64,logreg,64,education,max_pooled,746,0.5563,0.0,0.0697,0.9723,287,97,319,43
logreg/L64,logreg,64,entertainment,max_pooled,746,0.5563,0.0,0.0697,0.9723,287,97,319,43
logreg/L64,logreg,64,healthcare,max_pooled,746,0.5563,0.0,0.0697,0.9723,287,97,319,43
logreg/L64,logreg,64,social,max_pooled,746,0.5563,0.0,0.0697,0.9723,287,97,319,43
svm_rbf/L70,svm_rbf,70,social,threshold_05,147,0.5563,0.1127,0.1127,0.0031,8,76,0,63
logreg/L15,logreg,15,entertainment,last,160,0.5561,0.0734,0.1101,0.0043,44,39,12,65
logreg/L15,logreg,15,healthcare,max,157,0.5559,0.0,0.0,1.0,45,26,78,8
logreg/L50,logreg,50,economy,threshold_05,132,0.5559,0.0702,0.1053,0.006,57,11,64,0
logreg/L78,logreg,78,economy,top10_mean,132,0.5558,0.0,0.2281,0.9892,13,72,3,44
logreg/L33,logreg,33,economy,last_pooled,746,0.5554,0.0242,0.0697,0.0885,186,230,186,144
logreg/L33,logreg,33,education,last_pooled,746,0.5554,0.0242,0.0697,0.0885,186,230,186,144
logreg/L33,logreg,33,entertainment,last_pooled,746,0.5554,0.0242,0.0697,0.0885,186,230,186,144
logreg/L33,logreg,33,healthcare,last_pooled,746,0.5554,0.0242,0.0697,0.0885,186,230,186,144
logreg/L33,logreg,33,social,last_pooled,746,0.5554,0.0242,0.0697,0.0885,186,230,186,144
logreg/L54,logreg,54,economy,max,132,0.5554,0.0,0.0,0.9971,41,34,41,16
logreg/L54,logreg,54,economy,top10_mean,132,0.5554,0.0702,0.1579,0.7773,47,24,51,10
logreg/L74,logreg,74,economy,max_pooled,746,0.5552,0.0,0.0515,0.9998,143,278,138,187
logreg/L74,logreg,74,education,max_pooled,746,0.5552,0.0,0.0515,0.9998,143,278,138,187
logreg/L74,logreg,74,entertainment,max_pooled,746,0.5552,0.0,0.0515,0.9998,143,278,138,187
logreg/L74,logreg,74,healthcare,max_pooled,746,0.5552,0.0,0.0515,0.9998,143,278,138,187
logreg/L74,logreg,74,social,max_pooled,746,0.5552,0.0,0.0515,0.9998,143,278,138,187
mlp/L15,mlp,15,healthcare,max,157,0.5552,0.0,0.0,1.0,52,15,89,1
mlp/L60,mlp,60,economy,top5_mean,132,0.5551,0.0175,0.1754,0.9986,23,56,19,34
logreg/L63,logreg,63,economy,last,132,0.555,0.0,0.1404,0.002,19,62,13,38
logreg/L29,logreg,29,education,max,150,0.5549,0.1,0.175,0.9996,10,103,7,30
logreg/L71,logreg,71,economy,mean,132,0.5549,0.0175,0.0351,0.3019,21,59,16,36
logreg/L52,logreg,52,education,last,150,0.5548,0.075,0.15,0.0025,22,70,40,18
logreg/L66,logreg,66,entertainment,last,160,0.5544,0.0,0.1927,0.0044,43,44,7,66
logreg/L23,logreg,23,education,threshold_05,150,0.5543,0.1,0.2,0.2938,12,97,13,28
svm_rbf/L50,svm_rbf,50,education,max,150,0.5543,0.05,0.05,0.4318,36,28,82,4
logreg/L48,logreg,48,economy,last_pooled,746,0.5542,0.0394,0.0879,0.0009,249,152,264,81
logreg/L48,logreg,48,education,last_pooled,746,0.5542,0.0394,0.0879,0.0009,249,152,264,81
